id = 84
editor = KK



### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2014
reference =  private communication
reference2 = from Silvia Niccolai


### Scattering Process

frame = Trento

in1particle = em
in1energy = 5.932
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p
in2polarizationvector = L
in2polarization = +1

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LL}


y1name = BTSA
y1namelong = Double Spin Asymmetry
y1unit = 1
y1value = column5
y1error = column6 
# only statistical error is given to us



### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2014 BTSA (DSA)
#
# Q2        xB       -t       phi    BTSA      stat_err_BTSA
###########################################################
 2.4475   0.2648   0.2286   235.8380   0.6329   0.1072
 2.4475   0.2648   0.2286   269.8610   0.6146   0.0863
 2.4475   0.2648   0.2286   308.0970   0.5900   0.0666
 2.4475   0.2648   0.2286   340.6940   0.4932   0.0979
 2.0477   0.2585   0.2278   19.2325   0.5800   0.0622
 2.0477   0.2585   0.2278   52.1529   0.5596   0.0574
 2.0477   0.2585   0.2278   89.1628   0.4873   0.0618
 2.0477   0.2585   0.2278   125.9660   0.6586   0.0745
 2.0477   0.2585   0.2278   161.8830   0.5500   0.0809
 2.0477   0.2585   0.2278   198.8630   0.6966   0.0810
 2.0477   0.2585   0.2278   235.8380   0.6176   0.0771
 2.0477   0.2585   0.2278   269.8610   0.5338   0.0604
 2.0477   0.2585   0.2278   308.0970   0.5663   0.0587
 2.0477   0.2585   0.2278   340.6940   0.5061   0.0600
 1.9433   0.2579   0.4573   19.2325   0.6602   0.2243
 1.9433   0.2579   0.4573   52.1529   0.4263   0.0893
 1.9433   0.2579   0.4573   89.1628   0.5526   0.0763
 1.9433   0.2579   0.4573   125.9660   0.5074   0.0869
 1.9433   0.2579   0.4573   161.8830   0.4533   0.0594
 1.9433   0.2579   0.4573   198.8630   0.4820   0.0701
