id = 50
editor = KK
# the y1 data are derived from the phi measurement
# of HALL A data from the experiment (XLU-HALLA-06)
editor2 = DM
#2015/05/06
#attribute y1error replaced by y1errorstatistic
#attributes y1errornormalization and y1errornormalizationlinear are added


### Experiment

collaboration = HALLA
process = ep2epgamma
exptype = fixed target
year = 2006
reference =  nucl-ex/0607029
inspiretex = Camacho:2006qlkIN
reference2 = DFT analysis with MC error propagation by KK


### Scattering Process

frame = BMK

in1particle = e-
in1energy = 5.75
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = e-
out2particle = p
out3particle = gamma


### Observable 

y1name = XLUw
y1namelong = weighted beam spin difference
y1unit = nb/GeV^4
y1value = column4
y1errorstatistic = column5
y1errornormalization = 0.059
# normalization  errors are added in quadrature from publication
y1errornormalizationlinear = 0.13
# normalization errors from different sources are added linearly



### x-axes

x1name = xB
x1unit = 1
x1value = 0.36

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = t
x3unit = GeV^2
x3value = column2

x4name = FTn
x4unit = 1
x4value = column3


### Data
table = 
# Q2    t  Ftn            XLUw                   err
##############################################################
1.9   -0.33   -1   0.010496473807878423   0.000952763536229363
1.9   -0.33   1   0.0005158444125984411   0.000921558101644281
1.9   -0.33   -2   0.00019261635177092727   0.0009697456124659354
1.9   -0.33   2   -0.0005709774455589224   0.0008571515439995816
1.9   -0.33   -3   -0.0007030449651071285   0.0009361917912384702
1.9   -0.33   3   -0.0005573081583973409   0.0007644144453579389
1.9   -0.33   -4   -0.0006765117082188006   0.0007748594846278785
1.9   -0.33   4   0.00003359021108478624   0.0008055700647889598
1.9   -0.33   -5   -0.0019361119206698489   0.0008932012397829119
1.9   -0.33   5   -0.0010012600008578573   0.0008815721087101124
1.9   -0.33   -6   -0.000700939963945773   0.0008224781805239144
1.9   -0.33   6   -0.0003757314298455112   0.0008415625330936518
1.9   -0.33   -7   0.0004066613761364328   0.0009262139965902975
1.9   -0.33   7   0.00012024358501905697   0.0007898143737178233
1.9   -0.33   -8   0.000737277689511349   0.0008143030913474649
1.9   -0.33   8   -0.00023393164962062492   0.0008359986494539235
1.9   -0.33   -9   0.0006994094717578956   0.0007589549077771615
1.9   -0.33   9   0.0011601206668192816   0.0008214642017667524
1.9   -0.33   -10   -0.0005979057412579022   0.0009136026020151986
1.9   -0.33   10   -0.0005987858955814979   0.00081809930940192
1.9   -0.33   -11   0.0002947903101063037   0.0008707639023951387
1.9   -0.33   11   -0.0007938491944992688   0.0008895298321252663
1.9   -0.33   -12   0.00017521880631884344   0.0006380388365423306
1.9   -0.28   0   -0.0002901388965311086   0.0007038225219655471
1.9   -0.28   -1   0.013569768988105023   0.0010713521020651049
1.9   -0.28   1   0.000449219672626253   0.0008934980030004321
1.9   -0.28   -2   0.003529499147262526   0.0009600376421933041
1.9   -0.28   2   -0.000032129607373723036   0.0009211178292166705
1.9   -0.28   -3   0.0017992491920234576   0.000928276307488509
1.9   -0.28   3   -0.0011860602014398573   0.0009641371773269104
1.9   -0.28   -4   0.0006227369338452965   0.0009001828619760013
1.9   -0.28   4   -0.001108524664857669   0.0009551123131080496
1.9   -0.28   -5   0.0005998417449684993   0.0008681477528159491
1.9   -0.28   5   -0.0012591870349091554   0.0009527320734903993
1.9   -0.28   -6   0.0004413304351950781   0.0008253569881080346
1.9   -0.28   6   -0.0008948345507598332   0.0009412581401061173
1.9   -0.28   -7   0.0008566730633475299   0.0009744431034038152
1.9   -0.28   7   -0.00039322549287404104   0.0009406746106168511
1.9   -0.28   -8   0.000904493197888377   0.0008843270290923433
1.9   -0.28   8   -0.0004903153508100197   0.0009865698265490918
1.9   -0.28   -9   -0.0001330812949650921   0.0009042944168029503
1.9   -0.28   9   -0.0015205857600260183   0.0008789112800091611
1.9   -0.28   -10   -0.00033334681557978604   0.0009491008586511557
1.9   -0.28   10   -0.0007762161095881884   0.0008494964168602079
1.9   -0.28   -11   -0.0007134228060696169   0.0009557687785975104
1.9   -0.28   11   0.00043365026126374013   0.0009725382476414371
1.9   -0.28   -12   0.0007675743895004285   0.0006886913308032525
1.9   -0.23   0   0.0005526006068257144   0.0007208983818819879
1.9   -0.23   -1   0.015126797991860978   0.0009009912745047055
1.9   -0.23   1   0.001402479537143929   0.0009582504933278032
1.9   -0.23   -2   -0.0008335034063310348   0.0008709858104121367
