id = 97
editor = DM

### Experiment E145M2

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.02009
inspiretex = Jo:2015ema
reference2 = CLAS data base E145M2

### Scattering Process

frame = Trento

in1energy = 5.75
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XLU


y1name = XLU
y1namelong = Beam Helicity Independent Cross Section
0.154   1.27    0.45    293.19  -0.0477 0.0406  0.0124
0.154   1.27    0.45    308.35  -0.0526 0.062   0.0187
0.154   1.27    0.45    318.91  -0.2229 0.1072  0.0475
0.154   1.27    0.45    337.5   0   0   0
0.154   1.27    0.45    352.5   0   0   0
0.155   1.39    0.11    7.5 0   0   0
0.155   1.39    0.11    22.5    0   0   0
0.155   1.39    0.11    44.3    0   0   0
0.155   1.39    0.11    56.08   0   0   0
0.155   1.39    0.11    68.41   0.3301  0.3406  0.1184
0.155   1.39    0.11    82.12   1.1023  0.2058  0.111
0.155   1.39    0.11    97.15   0.3994  0.1851  0.0424
0.155   1.39    0.11    112.22  0.2436  0.1974  0.0902
0.155   1.39    0.11    127.28  0.1845  0.1777  0.0807
0.155   1.39    0.11    142.34  0.2856  0.148   0.0469
0.155   1.39    0.11    157.4   -0.0111 0.1316  0.0497
0.155   1.39    0.11    172.47  0.1497  0.1544  0.0494
0.155   1.39    0.11    187.53  -0.2069 0.1491  0.0486
0.155   1.39    0.11    202.6   -0.0095 0.1375  0.0262
0.155   1.39    0.11    217.66  -0.3624 0.1652  0.0718
0.155   1.39    0.11    232.72  -0.116  0.187   0.0956
0.155   1.39    0.11    247.78  -0.2182 0.1514  0.0553
0.155   1.39    0.11    262.85  -0.847  0.186   0.1281
0.155   1.39    0.11    277.88  -0.7745 0.2069  0.1236
0.155   1.39    0.11    291.59  -0.8951 0.3306  0.1507
0.155   1.39    0.11    303.92  0   0   0
0.155   1.39    0.11    315.7   0   0   0
0.155   1.39    0.11    337.5   0   0   0
0.155   1.39    0.11    352.5   0   0   0
0.155   1.39    0.15    7.5 0   0   0
0.155   1.39    0.15    22.5    0   0   0
0.155   1.39    0.15    37.5    0   0   0
0.155   1.39    0.15    56.69   0   0   0
0.155   1.39    0.15    68.06   0.4206  0.2193  0.0875
0.155   1.39    0.15    82.05   0.2613  0.1298  0.0489
0.155   1.39    0.15    97.13   0.3798  0.1187  0.0348
0.155   1.39    0.15    112.2   0.1055  0.1235  0.0588
0.155   1.39    0.15    127.27  0.1102  0.1092  0.0281
0.155   1.39    0.15    142.33  0.209   0.079   0.0294
0.155   1.39    0.15    157.4   0.0257  0.0849  0.0371
0.155   1.39    0.15    172.47  0.0896  0.0977  0.0253
0.155   1.39    0.15    187.53  -0.0216 0.1094  0.0145
0.155   1.39    0.15    202.6   -0.1042 0.0866  0.0185
0.155   1.39    0.15    217.67  -0.0516 0.0923  0.0269
0.155   1.39    0.15    232.73  -0.1693 0.1195  0.0422
0.155   1.39    0.15    247.8   -0.2114 0.1069  0.0594
0.155   1.39    0.15    262.87  -0.4092 0.1064  0.0381
0.155   1.39    0.15    277.95  -0.3039 0.1455  0.062
0.155   1.39    0.15    291.94  -0.4517 0.2099  0.0818
0.155   1.39    0.15    303.31  0   0   0
0.155   1.39    0.15    322.5   0   0   0
0.155   1.39    0.15    337.5   0   0   0
0.155   1.39    0.15    352.5   0   0   0
0.155   1.39    0.2 7.5 0   0   0
0.155   1.39    0.2 22.5    0   0   0
0.155   1.39    0.2 37.5    0   0   0
0.155   1.39    0.2 56.53   0   0   0
0.155   1.39    0.2 67.32   0.2645  0.1698  0.1027
0.155   1.39    0.2 82.02   0.2797  0.1092  0.0656
0.155   1.39    0.2 97.11   0.1424  0.0932  0.0362
0.155   1.39    0.2 112.19  0.146   0.0801  0.0462
0.155   1.39    0.2 127.26  0.0659  0.0795  0.0377
0.155   1.39    0.2 142.33  0.2152  0.0666  0.0239
0.155   1.39    0.2 157.4   0.0396  0.058   0.0163
0.155   1.39    0.2 172.47  0.1611  0.0705  0.017
0.155   1.39    0.2 187.53  -0.0012 0.0625  0.0145
0.155   1.39    0.2 202.6   0.1007  0.059   0.0241
0.155   1.39    0.2 217.67  0.0164  0.0705  0.0236
0.155   1.39    0.2 232.74  0.019   0.0898  0.0404
0.155   1.39    0.2 247.81  -0.0901 0.086   0.0401
0.155   1.39    0.2 262.89  -0.2744 0.0943  0.0568
0.155   1.39    0.2 277.98  -0.3839 0.1048  0.0476
0.155   1.39    0.2 292.68  -0.3888 0.1733  0.0769
0.155   1.39    0.2 303.47  0   0   0
0.155   1.39    0.2 322.5   0   0   0
0.155   1.39    0.2 337.5   0   0   0
0.155   1.39    0.2 352.5   0   0   0
0.155   1.39    0.26    7.5 0   0   0
0.155   1.39    0.26    22.5    0   0   0
0.155   1.39    0.26    37.5    0   0   0
0.155   1.39    0.26    56.03   0   0   0
0.155   1.39    0.26    66.92   0.3559  0.1198  0.0499
0.155   1.39    0.26    82  0.0598  0.0783  0.04
0.155   1.39    0.26    97.09   -0.0337 0.0482  0.0191
0.155   1.39    0.26    112.18  0.0459  0.0544  0.0177
0.155   1.39    0.26    127.25  0.0242  0.0507  0.0309
0.155   1.39    0.26    142.32  0.0508  0.044   0.0144
0.155   1.39    0.26    157.39  -0.0129 0.0397  0.0075
0.155   1.39    0.26    172.46  -0.0375 0.0439  0.019
0.155   1.39    0.26    187.54  0.0665  0.0424  0.0179
0.155   1.39    0.26    202.61  -0.0795 0.0442  0.0165
0.155   1.39    0.26    217.68  -0.0817 0.0367  0.0147
0.155   1.39    0.26    232.75  -0.0802 0.051   0.0367
0.155   1.39    0.26    247.82  -0.0818 0.0476  0.0213
0.155   1.39    0.26    262.91  -0.1878 0.0598  0.0182
0.155   1.39    0.26    278 -0.0735 0.0737  0.0237
0.155   1.39    0.26    293.08  -0.2878 0.1112  0.0489
0.155   1.39    0.26    303.97  0   0   0
0.155   1.39    0.26    322.5   0   0   0
0.155   1.39    0.26    337.5   0   0   0
0.155   1.39    0.26    352.5   0   0   0
0.155   1.39    0.34    7.5 0   0   0
0.155   1.39    0.34    22.5    0   0   0
0.155   1.39    0.34    44.3    0   0   0
0.155   1.39    0.34    54.08   0.2125  0.1032  0.0424
0.155   1.39    0.34    66.88   0.0025  0.075   0.0223
0.155   1.39    0.34    81.99   0.042   0.0513  0.0155
0.155   1.39    0.34    97.08   0.0665  0.0384  0.0142
0.155   1.39    0.34    112.17  -0.002  0.0388  0.012
0.155   1.39    0.34    127.25  -0.0581 0.0363  0.0089
0.155   1.39    0.34    142.32  0.0654  0.0319  0.0094
0.155   1.39    0.34    157.39  -0.0355 0.0287  0.0045
0.155   1.39    0.34    172.46  -0.0175 0.031   0.0078
0.155   1.39    0.34    187.54  -0.0767 0.034   0.0277
0.155   1.39    0.34    202.61  0.036   0.0318  0.0189
0.155   1.39    0.34    217.68  -0.0047 0.0275  0.0085
0.155   1.39    0.34    232.75  -0.0093 0.0343  0.0155
0.155   1.39    0.34    247.83  -0.0807 0.0355  0.0122
0.155   1.39    0.34    262.92  -0.001  0.0373  0.0122
0.155   1.39    0.34    278.01  -0.1002 0.0459  0.0128
0.155   1.39    0.34    293.12  -0.1415 0.0658  0.0182
0.155   1.39    0.34    305.92  -0.1748 0.1185  0.0506
0.155   1.39    0.34    315.7   0   0   0
0.155   1.39    0.34    337.5   0   0   0
0.155   1.39    0.34    352.5   0   0   0
0.155   1.39    0.45    7.5 0   0   0
0.155   1.39    0.45    22.5    0   0   0
0.155   1.39    0.45    42.85   0   0   0
0.155   1.39    0.45    51.97   0.1602  0.0508  0.0158
0.155   1.39    0.45    66.88   0.1271  0.0404  0.019
0.155   1.39    0.45    81.98   0.0544  0.0274  0.0138
0.155   1.39    0.45    97.08   0.015   0.0219  0.0069
0.155   1.39    0.45    112.16  0.0027  0.0199  0.0048
0.155   1.39    0.45    127.24  0.0277  0.0213  0.0071
0.155   1.39    0.45    142.32  0.0302  0.021   0.0216
0.155   1.39    0.45    157.39  -0.0272 0.0196  0.0066
0.155   1.39    0.45    172.46  -0.0238 0.0197  0.0069
0.155   1.39    0.45    187.54  -0.0179 0.0212  0.0048
0.155   1.39    0.45    202.61  0.0121  0.0177  0.0067
0.155   1.39    0.45    217.68  -0.0437 0.0175  0.009
0.155   1.39    0.45    232.76  -0.0009 0.0186  0.0086
0.155   1.39    0.45    247.84  -0.0101 0.0244  0.0132
0.155   1.39    0.45    262.92  -0.083  0.023   0.0059
0.155   1.39    0.45    278.02  -0.023  0.0266  0.0075
0.155   1.39    0.45    293.12  -0.0403 0.0395  0.0107
0.155   1.39    0.45    308.03  -0.0458 0.0577  0.0128
0.155   1.39    0.45    317.15  0   0   0
0.155   1.39    0.45    337.5   0   0   0
0.155   1.39    0.45    352.5   0   0   0
0.184   1.45    0.11    7.85    0.2861  0.2929  0.2122
0.184   1.45    0.11    22.93   -0.003  0.223   0.0912
0.184   1.45    0.11    37.42   0.5258  0.1671  0.0666
0.184   1.45    0.11    52.08   0.2291  0.1664  0.0341
0.184   1.45    0.11    67.09   0.4215  0.186   0.1046
0.184   1.45    0.11    82.13   0.306   0.1226  0.0588
0.184   1.45    0.11    97.17   0.2315  0.1087  0.0622
0.184   1.45    0.11    112.21  0.1643  0.1007  0.0367
0.184   1.45    0.11    127.27  -0.0636 0.118   0.0356
0.184   1.45    0.11    142.33  0.1641  0.0758  0.0214
