id = 99
editor = DM
# data restricted to DVCS kinematics Q2> 1.5 GeV^2 and -t/Q2 < 0.25
# only data are taken where 18 bins and more are filled

### Experiment E145M2

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.02009
inspiretex = Jo:2015ema
reference2 = CLAS data base E145M2, restricted kinematics

### Scattering Process

frame = Trento

in1energy = 5.75
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XLU


y1name = XLU
y1namelong = Beam Helicity Independent Cross Section
0.214   1.64    0.2 127.25  0.0191  0.0293  0.0067
0.214   1.64    0.2 142.32  0.0079  0.03    0.019
0.214   1.64    0.2 157.39  0.0001  0.0222  0.0119
0.214   1.64    0.2 172.46  0.0124  0.0309  0.0104
0.214   1.64    0.2 187.54  0.0162  0.0287  0.0097
0.214   1.64    0.2 202.61  0.0036  0.0256  0.0077
0.214   1.64    0.2 217.68  -0.0272 0.0221  0.0096
0.214   1.64    0.2 232.75  -0.0073 0.0368  0.0202
0.214   1.64    0.2 247.82  -0.0097 0.0318  0.0111
0.214   1.64    0.2 262.88  -0.0662 0.0302  0.0159
0.214   1.64    0.2 277.95  -0.1101 0.0383  0.0157
0.214   1.64    0.2 293.01  -0.0853 0.0532  0.0229
0.214   1.64    0.2 308.06  -0.1217 0.0629  0.0326
0.214   1.64    0.2 322.73  -0.2256 0.0664  0.0345
0.214   1.64    0.2 336.52  -0.0529 0.1029  0.0345
0.214   1.64    0.2 351.74  -0.2864 0.2071  0.0884
0.214   1.64    0.26    10.82   0   0   0
0.214   1.64    0.26    25.19   0.2719  0.1556  0.0663
0.214   1.64    0.26    37.58   0.1472  0.0517  0.0129
0.214   1.64    0.26    51.84   0.1266  0.037   0.0143
0.214   1.64    0.26    66.93   0.0469  0.0337  0.0067
0.214   1.64    0.26    82.01   0.0845  0.0286  0.0136
0.214   1.64    0.26    97.09   0.0531  0.0229  0.0112
0.214   1.64    0.26    112.16  0.045   0.0208  0.0139
0.214   1.64    0.26    127.24  0.0347  0.0201  0.0085
0.214   1.64    0.26    142.31  0.0348  0.0203  0.0088
0.214   1.64    0.26    157.39  0.0047  0.0183  0.0035
0.214   1.64    0.26    172.46  0.0102  0.0216  0.0061
0.214   1.64    0.26    187.54  -0.0003 0.0279  0.008
0.214   1.64    0.26    202.61  -0.0215 0.017   0.0099
0.214   1.64    0.26    217.69  -0.0218 0.0207  0.0087
0.214   1.64    0.26    232.76  0.0072  0.0186  0.0036
0.214   1.64    0.26    247.84  -0.0273 0.0231  0.0152
0.214   1.64    0.26    262.91  -0.042  0.0212  0.0078
0.214   1.64    0.26    277.99  -0.1089 0.023   0.0137
0.214   1.64    0.26    293.07  -0.0599 0.0352  0.0193
0.214   1.64    0.26    308.16  -0.0533 0.0431  0.0076
0.214   1.64    0.26    322.42  -0.131  0.0498  0.025
0.214   1.64    0.26    334.81  -0.2528 0.1148  0.0465
0.214   1.64    0.26    349.18  0   0   0
0.214   1.64    0.34    7.5 0   0   0
0.214   1.64    0.34    27.62   0   0   0
0.214   1.64    0.34    37.97   0.131   0.0405  0.0132
0.214   1.64    0.34    51.74   0.0189  0.0259  0.0081
0.214   1.64    0.34    66.87   0.0553  0.0232  0.0131
0.214   1.64    0.34    81.97   0.0704  0.0222  0.0079
0.214   1.64    0.34    97.06   0.0315  0.016   0.0035
0.214   1.64    0.34    112.15  0.004   0.0137  0.0061
0.214   1.64    0.34    127.23  0.0248  0.0161  0.0077
0.214   1.64    0.34    142.31  0.0127  0.0184  0.0051
0.214   1.64    0.34    157.38  0.0183  0.0243  0.0192
0.214   1.64    0.34    172.46  -0.0003 0.0288  0.014
0.214   1.64    0.34    187.54  0   0   0
0.214   1.64    0.34    202.62  -0.0321 0.023   0.0056
0.214   1.64    0.34    217.69  -0.0208 0.0207  0.0068
0.214   1.64    0.34    232.77  -0.0224 0.0156  0.0076
0.214   1.64    0.34    247.85  -0.0095 0.016   0.0064
