id = 104
0.214   1.64    0.11    277.84  -0.19232    0.114269    0.0445964
0.214   1.64    0.11    292.85  -0.123084   0.112517    0.0714125
0.214   1.64    0.11    307.84  -0.397369   0.0817005   0.076647
0.214   1.64    0.11    322.81  -0.17203    0.0626778   0.0229059
0.214   1.64    0.11    337.66  -0.208518   0.0576775   0.0453981
0.214   1.64    0.11    352.52  -0.0210607  0.0691077   0.0164291
0.214   1.64    0.15    7.71    -0.0340545  0.0623239   0.0418278
0.214   1.64    0.15    22.63   0.137139    0.0527617   0.0236178
0.214   1.64    0.15    37.13   0.191409    0.055771    0.0283907
0.214   1.64    0.15    52.04   0.215433    0.0670847   0.0592063
0.214   1.64    0.15    67.07   0.22073     0.102915    0.0384252
0.214   1.64    0.15    82.1    0.391125    0.111014    0.0774447
0.214   1.64    0.15    97.15   0.155101    0.104796    0.0307498
0.214   1.64    0.15    112.2   0.238       0.124285    0.067023
0.214   1.64    0.15    127.26  0.340989    0.15432     0.0730997
0.214   1.64    0.15    142.32  0.0259523   0.14905     0.0736975
0.214   1.64    0.15    157.39  0.0157753   0.126598    0.0489385
0.214   1.64    0.15    172.46  0.059786    0.177051    0.05686
0.214   1.64    0.15    187.54  0.00499688  0.209871    0.0693414
0.214   1.64    0.15    202.61  -0.238339   0.147797    0.0470991
0.214   1.64    0.15    217.68  -0.10447    0.144493    0.0661034
0.214   1.64    0.15    232.74  -0.24513    0.152556    0.0730372
0.214   1.64    0.15    247.8   -0.049063   0.136396    0.0549945
0.214   1.64    0.15    262.85  -0.245906   0.111151    0.104717
0.214   1.64    0.15    277.9   -0.370194   0.106025    0.0627587
0.214   1.64    0.15    292.93  -0.146217   0.097386    0.0429322
0.214   1.64    0.15    307.96  -0.189465   0.0778107   0.0392667
0.214   1.64    0.15    322.87  -0.196152   0.0574747   0.0239171
0.214   1.64    0.15    337.37  -0.148881   0.0501096   0.0276891
0.214   1.64    0.15    352.29  -0.0430103  0.0576147   0.0220465
