id = 100
editor = DM
# data restricted to DVCS kinematics Q2> 1.5 GeV^2 and -t/Q2 < 0.25
# only data are taken where 18 bins and more are filled

### Experiment E145M1

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.02009
inspiretex = Jo:2015ema
reference2 = CLAS data base E145M1, restricted kinematics

### Scattering Process

frame = Trento

in1energy = 5.75
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUU


y1name = XUU
y1namelong = Beam Helicity Independent Cross Section
0.214   1.64    0.15    52.04   0.946   0.0511  0.0673
0.214   1.64    0.15    67.07   0.6329  0.0524  0.0429
0.214   1.64    0.15    82.1    0.5589  0.0483  0.0622
0.214   1.64    0.15    97.15   0.4107  0.0348  0.04
0.214   1.64    0.15    112.2   0.3 0.0299  0.0206
0.214   1.64    0.15    127.26  0.2569  0.0311  0.0339
0.214   1.64    0.15    142.32  0.2389  0.0292  0.0182
0.214   1.64    0.15    157.39  0.2599  0.027   0.0442
0.214   1.64    0.15    172.46  0.1589  0.0229  0.0133
0.214   1.64    0.15    187.54  0.1601  0.0273  0.0373
0.214   1.64    0.15    202.61  0.1951  0.0232  0.0174
0.214   1.64    0.15    217.68  0.1924  0.0226  0.0344
0.214   1.64    0.15    232.74  0.2721  0.0333  0.0563
0.214   1.64    0.15    247.8   0.2935  0.0327  0.0234
0.214   1.64    0.15    262.85  0.3542  0.0315  0.0437
0.214   1.64    0.15    277.9   0.4838  0.0401  0.0304
0.214   1.64    0.15    292.93  0.7229  0.0573  0.0616
0.214   1.64    0.15    307.96  0.9416  0.0593  0.0791
0.214   1.64    0.15    322.87  1.2317  0.0571  0.0878
0.214   1.64    0.15    337.37  1.7289  0.0703  0.1251
0.214   1.64    0.15    352.29  2.1553  0.1017  0.1625
0.214   1.64    0.2 8.26    2.0263  0.1644  0.1559
0.214   1.64    0.2 23.48   1.7346  0.0912  0.1679
0.214   1.64    0.2 37.27   1.0673  0.0512  0.0756
0.214   1.64    0.2 51.94   0.7463  0.0432  0.0507
0.214   1.64    0.2 66.99   0.4562  0.0409  0.0497
0.214   1.64    0.2 82.05   0.356   0.0361  0.045
0.214   1.64    0.2 97.12   0.251   0.0262  0.0276
0.214   1.64    0.2 112.18  0.2218  0.0241  0.0188
0.214   1.64    0.2 127.25  0.1546  0.0239  0.0154
0.214   1.64    0.2 142.32  0.1522  0.0245  0.0345
0.214   1.64    0.2 157.39  0.1248  0.0182  0.0195
0.214   1.64    0.2 172.46  0.1746  0.0252  0.0232
0.214   1.64    0.2 187.54  0.1159  0.0233  0.0167
0.214   1.64    0.2 202.61  0.1466  0.0209  0.0343
0.214   1.64    0.2 217.68  0.1171  0.018   0.0083
0.214   1.64    0.2 232.75  0.2102  0.0301  0.0219
0.214   1.64    0.2 247.82  0.19    0.026   0.0169
0.214   1.64    0.2 262.88  0.2235  0.0246  0.0246
0.214   1.64    0.2 277.95  0.3535  0.0313  0.0305
0.214   1.64    0.2 293.01  0.5191  0.0439  0.0748
0.214   1.64    0.2 308.06  0.7353  0.0515  0.0875
0.214   1.64    0.2 322.73  1.1043  0.0543  0.0824
0.214   1.64    0.2 336.52  1.7522  0.0843  0.166
0.214   1.64    0.2 351.74  2.8289  0.1702  0.2304
0.214   1.64    0.26    10.82   0   0   0
0.214   1.64    0.26    25.19   1.8274  0.1274  0.1754
0.214   1.64    0.26    37.58   0.8814  0.0422  0.0542
0.214   1.64    0.26    51.84   0.533   0.0303  0.0373
0.214   1.64    0.26    66.93   0.3295  0.0275  0.0424
0.214   1.64    0.26    82.01   0.2213  0.0234  0.0189
0.214   1.64    0.26    97.09   0.1959  0.0188  0.0254
0.214   1.64    0.26    112.16  0.1617  0.017   0.0216
0.214   1.64    0.26    127.24  0.1043  0.0164  0.0164
0.214   1.64    0.26    142.31  0.0851  0.0165  0.0106
0.214   1.64    0.26    157.39  0.0813  0.0149  0.0071
0.214   1.64    0.26    172.46  0.0882  0.0176  0.0097
0.214   1.64    0.26    187.54  0.1008  0.0227  0.0225
0.214   1.64    0.26    202.61  0.0678  0.0139  0.0133
0.214   1.64    0.26    217.69  0.1168  0.017   0.0125
0.214   1.64    0.26    232.76  0.0879  0.0153  0.0136
0.214   1.64    0.26    247.84  0.1397  0.0189  0.0166
0.214   1.64    0.26    262.91  0.1744  0.0174  0.0161
0.214   1.64    0.26    277.99  0.2087  0.0187  0.0171
0.214   1.64    0.26    293.07  0.3302  0.0289  0.0422
0.214   1.64    0.26    308.16  0.4817  0.0352  0.042
0.214   1.64    0.26    322.42  0.7951  0.0408  0.0613
0.214   1.64    0.26    334.81  1.4601  0.0938  0.2132
0.214   1.64    0.26    349.18  0   0   0
0.214   1.64    0.34    7.5 0   0   0
0.214   1.64    0.34    27.62   0   0   0
0.214   1.64    0.34    37.97   0.6097  0.0331  0.0369
0.214   1.64    0.34    51.74   0.3476  0.0212  0.0233
0.214   1.64    0.34    66.87   0.2082  0.019   0.0178
0.214   1.64    0.34    81.97   0.1666  0.0182  0.0188
0.214   1.64    0.34    97.06   0.1208  0.0132  0.0128
0.214   1.64    0.34    112.15  0.093   0.0112  0.0073
0.214   1.64    0.34    127.23  0.0673  0.0131  0.0076
0.214   1.64    0.34    142.31  0.0576  0.015   0.0145
0.214   1.64    0.34    157.38  0.0816  0.02    0.0282
0.214   1.64    0.34    172.46  0.0767  0.0237  0.0467
0.214   1.64    0.34    187.54  0   0   0
0.214   1.64    0.34    202.62  0.0632  0.0188  0.0088
0.214   1.64    0.34    217.69  0.0894  0.0171  0.0205
0.214   1.64    0.34    232.77  0.0623  0.0128  0.0147
0.214   1.64    0.34    247.85  0.078   0.0131  0.0081
0.214   1.64    0.34    262.94  0.1055  0.0118  0.0123
0.214   1.64    0.34    278.03  0.1572  0.0142  0.0112
0.214   1.64    0.34    293.13  0.2614  0.0224  0.0325
0.214   1.64    0.34    308.26  0.361   0.0277  0.0304
0.214   1.64    0.34    322.03  0.5869  0.0335  0.0389
0.214   1.64    0.34    332.38  0   0   0
0.214   1.64    0.34    352.5   0   0   0
0.215   1.88    0.11    7.84    0   0   0
0.215   1.88    0.11    23.16   3.3378  0.1951  0.426
0.215   1.88    0.11    37.96   2.7154  0.1407  0.3109
0.215   1.88    0.11    52.73   1.5653  0.1013  0.1367
0.215   1.88    0.11    67.28   1.1438  0.0874  0.082
0.215   1.88    0.11    82.17   0.8924  0.0651  0.0853
0.215   1.88    0.11    97.2    0.8012  0.0559  0.0978
0.215   1.88    0.11    112.25  0.7615  0.0628  0.1415
0.215   1.88    0.11    127.3   0.4652  0.0558  0.0675
0.215   1.88    0.11    142.35  0.4891  0.0515  0.0547
0.215   1.88    0.11    157.41  0.3936  0.0438  0.0438
0.215   1.88    0.11    172.47  0.3645  0.05    0.0607
0.215   1.88    0.11    187.53  0   0   0
0.215   1.88    0.11    202.59  0.4806  0.0434  0.0321
0.215   1.88    0.11    217.65  0.506   0.0485  0.0409
0.215   1.88    0.11    232.7   0.5188  0.0543  0.0318
0.215   1.88    0.11    247.75  0.5895  0.0506  0.0359
0.215   1.88    0.11    262.8   0.821   0.0576  0.0569
0.215   1.88    0.11    277.83  0.9854  0.0734  0.1081
0.215   1.88    0.11    292.72  1.2637  0.0902  0.0976
0.215   1.88    0.11    307.27  1.7853  0.1035  0.1436
0.215   1.88    0.11    322.04  2.6943  0.1347  0.2736
0.215   1.88    0.11    336.84  3.6628  0.2011  0.3738
0.215   1.88    0.11    352.16  0   0   0
0.215   1.88    0.15    8.28    0   0   0
0.215   1.88    0.15    24.86   0   0   0
0.215   1.88    0.15    38.98   2.3386  0.1271  0.3522
0.215   1.88    0.15    52.95   1.4945  0.081   0.1452
0.215   1.88    0.15    67.13   0.994   0.0652  0.0752
0.215   1.88    0.15    82.11   0.696   0.0496  0.0584
0.215   1.88    0.15    97.16   0.4648  0.0358  0.0303
0.215   1.88    0.15    112.22  0.438   0.0387  0.039
0.215   1.88    0.15    127.28  0.3178  0.0369  0.0455
0.215   1.88    0.15    142.34  0.2737  0.0311  0.0396
0.215   1.88    0.15    157.4   0.2863  0.0297  0.0223
0.215   1.88    0.15    172.47  0.2677  0.0333  0.0187
0.215   1.88    0.15    187.53  0.2752  0.0323  0.0222
0.215   1.88    0.15    202.6   0.246   0.0258  0.0272
0.215   1.88    0.15    217.66  0.3135  0.0304  0.0335
0.215   1.88    0.15    232.72  0.4341  0.0419  0.0592
0.215   1.88    0.15    247.78  0.4061  0.0386  0.0325
0.215   1.88    0.15    262.84  0.494   0.0379  0.035
0.215   1.88    0.15    277.89  0.6686  0.0485  0.044
0.215   1.88    0.15    292.87  0.998   0.0661  0.0734
0.215   1.88    0.15    307.05  1.6037  0.0873  0.1657
0.215   1.88    0.15    321.02  1.948   0.1074  0.2148
0.215   1.88    0.15    335.14  0   0   0
0.215   1.88    0.15    351.72  0   0   0
0.215   1.88    0.2 7.5 0   0   0
0.215   1.88    0.2 28.48   0   0   0
0.215   1.88    0.2 40.38   0   0   0
0.215   1.88    0.2 53.14   1.1752  0.0648  0.0992
0.215   1.88    0.2 66.99   0.6188  0.0463  0.0717
0.215   1.88    0.2 82.06   0.4684  0.0401  0.0516
0.215   1.88    0.2 97.14   0.3384  0.03    0.0376
0.215   1.88    0.2 112.2   0.2777  0.0284  0.0201
0.215   1.88    0.2 127.27  0.2371  0.0301  0.0305
0.215   1.88    0.2 142.33  0.1954  0.0248  0.0165
0.215   1.88    0.2 157.4   0.1745  0.0208  0.0199
0.215   1.88    0.2 172.47  0.1999  0.0262  0.0273
0.215   1.88    0.2 187.53  0.1874  0.0266  0.0303
0.215   1.88    0.2 202.6   0.1398  0.0201  0.0129
0.215   1.88    0.2 217.67  0.1782  0.0225  0.0204
