id = 6
editor = KK
editor1 = DM
# Feb. 2010
# modified naming scheme


### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2007
reference =  arXiv:0711.4805
inspiretex = Girod:2007aa
reference2 = private table


### Scattering Process

frame = Trento

in1particle = em
in1energy = 5.77
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1error = column6 
# only statistical error is knonw, 
# according to private communication (DM) the systematic one can be neglected



### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2007 ALU
#
# xB     Q2     -t     phi     ALU     stat
############################################
0.1764 1.3680 0.2798 225.1086 -0.1337 0.0530
0.1764 1.3680 0.2798 256.8941 -0.2957 0.0423
0.1764 1.3680 0.2798 285.1898 -0.2891 0.0332
0.1764 1.3680 0.2798 314.9509 -0.1624 0.0278
0.1764 1.3680 0.2798 338.2752 -0.1163 0.0891
0.1772 1.5653 0.2819 28.1190 -0.3824 0.6852
0.1772 1.5653 0.2819 50.2425 0.1620 0.0274
0.1772 1.5653 0.2819 73.7667 0.1763 0.0258
0.1772 1.5653 0.2819 103.4781 0.1786 0.0317
0.1772 1.5653 0.2819 134.5666 0.1254 0.0424
0.1772 1.5653 0.2819 164.3223 0.0811 0.0402
0.1772 1.5653 0.2819 197.3449 -0.1069 0.0427
0.1772 1.5653 0.2819 224.7145 -0.1401 0.0377
0.1772 1.5653 0.2819 257.1572 -0.2071 0.0324
0.1772 1.5653 0.2819 285.6241 -0.1902 0.0246
0.1772 1.5653 0.2819 309.3500 -0.1448 0.0322
0.1772 1.5653 0.2819 336.3834 -0.6382 0.3839
0.2466 1.6881 0.2842 15.9087 0.0652 0.0188
0.2466 1.6881 0.2842 43.3781 0.2327 0.0195
0.2466 1.6881 0.2842 72.5946 0.3259 0.0342
0.2466 1.6881 0.2842 103.4719 0.2768 0.0491
0.2466 1.6881 0.2842 133.4654 0.2869 0.0755
0.2466 1.6881 0.2842 165.2913 -0.0804 0.0578
0.2466 1.6881 0.2842 196.0153 0.0639 0.0771
0.2466 1.6881 0.2842 223.6062 -0.1431 0.0847
0.2466 1.6881 0.2842 259.5956 -0.2498 0.0504
0.2466 1.6881 0.2842 285.7351 -0.3358 0.0322
0.2466 1.6881 0.2842 318.0410 -0.2441 0.0209
0.2466 1.6881 0.2842 343.5328 -0.1253 0.0172
0.2487 1.9490 0.2809 17.1754 0.1124 0.0221
0.2487 1.9490 0.2809 43.4671 0.2321 0.0175
0.2487 1.9490 0.2809 72.9762 0.2798 0.0290
0.2487 1.9490 0.2809 104.4660 0.2561 0.0345
0.2487 1.9490 0.2809 133.4071 0.1867 0.0525
0.2487 1.9490 0.2809 163.6467 0.0185 0.0575
0.2487 1.9490 0.2809 196.9362 -0.0605 0.0588
0.2487 1.9490 0.2809 225.4951 -0.2739 0.0471
0.2487 1.9490 0.2809 257.6624 -0.2513 0.0358
0.2487 1.9490 0.2809 285.6434 -0.2588 0.0277
0.2487 1.9490 0.2809 316.8753 -0.1704 0.0189
0.2487 1.9490 0.2809 342.5843 -0.0644 0.0216
0.2525 2.2131 0.2814 18.9359 0.1191 0.0427
0.2525 2.2131 0.2814 46.3532 0.1584 0.0185
0.2525 2.2131 0.2814 73.4877 0.2360 0.0231
0.2525 2.2131 0.2814 103.3959 0.2538 0.0278
