id = 50
editor = KK

# the y0 data are derived from the phi measurement
# of HALL A data from the experiment (BSD-HALLA-06)


### Experiment

collaboration = HALLA
process = ep2epgamma
exptype = fixed target
year = 2006
reference =  nucl-ex/0607029
reference2 = DFT analysis with MC error propagation by KK


### Scattering Process

frame = BMK

in1particle = em
in1energy = 5.75
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = e
out2particle = p
out3particle = gamma


### Observable 

y0name = BSDw
y0long = Weighted beam spin difference
y0unit = nb/GeV^4
y0value = column3
y0errorstatistic = column4
y0errorsystematic = column5


### x-axes

x0name = xB
x0unit = 1
x0value = 0.36

x1name = Q2
x1unit = GeV^2
x1value = column0

x2name = t
x2unit = GeV^2
x2value = column1

x3name = FTn
x3unit = 1
x3value = column2


### Data

# Q2    t     Ftn      BSDw     stat       syst (5.95%)
##############################################################
2.3   -0.33   -11   -0.000984   0.000979   0.000059
2.3   -0.33    11   -0.000736   0.000791   0.000044
2.3   -0.33   -12   -0.000724   0.000660   0.000043
2.3   -0.28    0    0.000453   0.000618   0.000027
2.3   -0.28   -1    0.012950   0.000838   0.000770
2.3   -0.28    1   -0.000105   0.000932   0.000006
2.3   -0.28   -2    0.000488   0.000868   0.000029
2.3   -0.28    2   -0.000000   0.000817   0.000000
2.3   -0.28   -3    0.000074   0.000919   0.000004
2.3   -0.28    3   -0.000008   0.000926   0.000000
2.3   -0.28   -4    0.000754   0.000900   0.000045
2.3   -0.28    4    0.000219   0.000928   0.000013
2.3   -0.28   -5    0.000788   0.000877   0.000047
2.3   -0.28    5   -0.000143   0.000912   0.000009
2.3   -0.28   -6   -0.000092   0.000857   0.000005
2.3   -0.28    6    0.000571   0.000974   0.000034
2.3   -0.28   -7   -0.000446   0.000867   0.000026
2.3   -0.28    7   -0.000074   0.000872   0.000004
2.3   -0.28   -8   -0.001238   0.000852   0.000074
2.3   -0.28    8   -0.001211   0.000930   0.000072
2.3   -0.28   -9   -0.000746   0.000891   0.000044
2.3   -0.28    9   -0.000811   0.000922   0.000048
2.3   -0.28   -10   -0.000178   0.000890   0.000011
2.3   -0.28    10    0.000904   0.000900   0.000054
2.3   -0.28   -11    0.000127   0.000956   0.000008
2.3   -0.28    11   -0.000139   0.000814   0.000008
2.3   -0.28   -12   -0.000320   0.000657   0.000019
2.3   -0.23    0    0.000407   0.000636   0.000024
2.3   -0.23   -1    0.013942   0.000945   0.000829
2.3   -0.23    1    0.000397   0.000857   0.000024
2.3   -0.23   -2   -0.000036   0.000989   0.000002
2.3   -0.23    2    0.000863   0.000903   0.000051
2.3   -0.23   -3    0.000089   0.001013   0.000005
2.3   -0.23    3   -0.001698   0.001005   0.000101
2.3   -0.23   -4   -0.000584   0.000913   0.000035
2.3   -0.23    4   -0.000075   0.000864   0.000004
2.3   -0.23   -5   -0.000700   0.000985   0.000042
2.3   -0.23    5    0.000169   0.000924   0.000010
2.3   -0.23   -6   -0.000541   0.000983   0.000032
2.3   -0.23    6    0.000322   0.000873   0.000019
2.3   -0.23   -7   -0.000553   0.000925   0.000033
2.3   -0.23    7   -0.000515   0.000994   0.000031
2.3   -0.23   -8   -0.000777   0.000942   0.000046
2.3   -0.23    8   -0.001522   0.000946   0.000091
2.3   -0.23   -9   -0.000927   0.001014   0.000055
2.3   -0.23    9    0.001204   0.000904   0.000072
2.3   -0.23   -10   -0.000424   0.000916   0.000025
2.3   -0.23    10   -0.000915   0.000953   0.000054
2.3   -0.23   -11    0.001159   0.000878   0.000069
2.3   -0.23    11   -0.001561   0.000959   0.000093
2.3   -0.23   -12    0.000338   0.000658   0.000020
2.3   -0.17    0   -0.000182   0.000481   0.000011
2.3   -0.17   -1    0.010319   0.000735   0.000614
2.3   -0.17    1   -0.000551   0.000705   0.000033
2.3   -0.17   -2    0.000362   0.000783   0.000022
2.3   -0.17    2   -0.000011   0.000756   0.000001
2.3   -0.17   -3   -0.000780   0.000714   0.000046
2.3   -0.17    3   -0.000252   0.000708   0.000015
2.3   -0.17   -4   -0.000427   0.000795   0.000025
2.3   -0.17    4    0.000584   0.000751   0.000035
2.3   -0.17   -5   -0.001536   0.000710   0.000091
2.3   -0.17    5   -0.000438   0.000723   0.000026
2.3   -0.17   -6    0.000124   0.000759   0.000007
2.3   -0.17    6    0.001661   0.000683   0.000099
2.3   -0.17   -7    0.000182   0.000729   0.000011
2.3   -0.17    7    0.000150   0.000756   0.000009
2.3   -0.17   -8    0.000064   0.000738   0.000004
2.3   -0.17    8   -0.001198   0.000704   0.000071
2.3   -0.17   -9    0.000048   0.000696   0.000003
2.3   -0.17    9   -0.000366   0.000662   0.000022
2.3   -0.17   -10   -0.000024   0.000645   0.000001
2.3   -0.17    10    0.001101   0.000710   0.000065
2.3   -0.17   -11    0.000803   0.000724   0.000048
2.3   -0.17    11    0.000905   0.000714   0.000054
2.3   -0.17   -12   -0.000148   0.000524   0.000009
