id = 83
editor = KK



### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2014
reference =  private communication
reference2 = from Silvia Niccolai


### Scattering Process

frame = Trento

in1particle = em
in1energy = 5.932
in1energyunit = GeV

in2polarizationvector = L
in2polarization = +1
in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{UL}


y1name = TSA
y1namelong = Longitudinally Polarized Target Spin Asymmetry
y1unit = 1
y1value = column5
y1error = column6 
# only statistical error is given to us



### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2014 TSA
#
# Q2        xB       -t       phi    TSA      stat_err_TSA
###########################################################
 2.4475   0.2648   0.2286   308.0970  -0.2096   0.0595
 2.4475   0.2648   0.2286   340.6940  -0.1059   0.0858
 2.0477   0.2585   0.2278   19.2325  -0.0046   0.0557
 2.0477   0.2585   0.2278   52.1529   0.1406   0.0510
 2.0477   0.2585   0.2278   89.1628   0.1526   0.0537
 2.0477   0.2585   0.2278   125.9660   0.0804   0.0670
 2.0477   0.2585   0.2278   161.8830   0.1095   0.0725
 2.0477   0.2585   0.2278   198.8630  -0.0248   0.0751
 2.0477   0.2585   0.2278   235.8380  -0.1878   0.0697
 2.0477   0.2585   0.2278   269.8610  -0.2161   0.0534
 2.0477   0.2585   0.2278   308.0970  -0.1543   0.0521
 2.0477   0.2585   0.2278   340.6940   0.0040   0.0529
 1.9433   0.2579   0.4573   19.2325  -0.1839   0.1900
 1.9433   0.2579   0.4573   52.1529   0.1448   0.0771
 1.9433   0.2579   0.4573   89.1628   0.2849   0.0675
 1.9433   0.2579   0.4573   125.9660   0.1173   0.0755
 1.9433   0.2579   0.4573   161.8830   0.1084   0.0521
 1.9433   0.2579   0.4573   198.8630  -0.1071   0.0618
 1.9433   0.2579   0.4573   235.8380  -0.1513   0.0862
 1.9433   0.2579   0.4573   269.8610  -0.1362   0.0589
 1.9433   0.2579   0.4573   308.0970  -0.0887   0.0761
 1.9433   0.2579   0.4573   340.6940  -0.0558   0.1405
 1.5535   0.1811   0.1287   19.2325   0.4295   0.2698
 1.5535   0.1811   0.1287   52.1529   0.1218   0.1375
 1.5535   0.1811   0.1287   89.1628   0.1767   0.0731
 1.5535   0.1811   0.1287   125.9660   0.1372   0.0633
 1.5535   0.1811   0.1287   161.8830   0.0720   0.0615
 1.5535   0.1811   0.1287   198.8630  -0.0785   0.0593
 1.5535   0.1811   0.1287   235.8380  -0.1261   0.0659
 1.5535   0.1811   0.1287   269.8610  -0.1743   0.0759
 1.5535   0.1811   0.1287   308.0970  -0.0102   0.1182
 2.4579   0.2655   0.4431   19.2325  -0.0118   0.2611
 2.4579   0.2655   0.4431   52.1529   0.0715   0.0717
 2.4579   0.2655   0.4431   89.1628   0.0343   0.0851
 2.4579   0.2655   0.4431   125.9660   0.1274   0.1210
 2.4579   0.2655   0.4431   161.8830  -0.2561   0.1627
 2.4579   0.2655   0.4431   198.8630   0.0068   0.1426
 2.4579   0.2655   0.4431   235.8380  -0.0410   0.1171
 2.4579   0.2655   0.4431   269.8610  -0.1258   0.0889
 2.4579   0.2655   0.4431   308.0970  -0.2229   0.0776
 2.4579   0.2655   0.4431   340.6940  -0.0511   0.2165
