id = 213
editor = KK

### Experiment

collaboration = H1ZEUS
process = dis
exptype = collider
year = 2015
reference = arXiv:1506.06042
reference2 = Table10
#  Data is downloaded from
#  https://www.hepdata.net/record/ins416819
#  as CSV and processed with Python Pandas.
#  Some checking should still be done, this was done
#  fast because of referee requirement, only for
#  plotting, not for numerics.

### Scattering Process

in1particle = e+
in1energy = 27.5
in1energyunit = GeV

in2particle = p
in2energy = 920
in2energyunit = GeV

### Observable 

y1name = DISF2
y1namelong = "positron reduced DIS cross-section ~ F2 for low y"
y1unit = 1
y1value = column3
y1error = column4


### x-axes
x1name = Q2
x1unit = GeV^2
x1value = column1

x2name = xB
x2unit = 1
x2value = column2


### Data
#  Error is absolute, obtained
#  by adding all stat and syst errors in quadrature
#  (agrees with last column of table 10).
# Q2       xB        F2     err
######################################
45.0   0.0009200   1.388   0.0278
45.0   0.0011000   1.371   0.0254
45.0   0.0013000   1.294   0.0157
45.0   0.0020000   1.152   0.0132
45.0   0.0032000   1.005   0.0118
45.0   0.0050000   0.896   0.0107
45.0   0.0080000   0.78   0.0093
45.0   0.0130000   0.679   0.0088
45.0   0.0200000   0.601   0.0080
45.0   0.0320000   0.533   0.0096
45.0   0.0500000   0.485   0.0127
60.0   0.0008000   1.47   0.0304
60.0   0.0008600   1.546   0.0479
60.0   0.0009400   1.525   0.0476
60.0   0.0011000   1.459   0.0350
60.0   0.0013000   1.391   0.0190
60.0   0.0015000   1.317   0.0268
60.0   0.0020000   1.234   0.0139
60.0   0.0032000   1.077   0.0120
60.0   0.0050000   0.932   0.0108
60.0   0.0080000   0.819   0.0107
60.0   0.0130000   0.705   0.0095
60.0   0.0200000   0.631   0.0091
60.0   0.0320000   0.552   0.0085
60.0   0.0500000   0.509   0.0114
60.0   0.1300000   0.395   0.0226
70.0   0.0009220   1.385   0.0885
70.0   0.0010000   1.434   0.0516
70.0   0.0011000   1.506   0.0472
70.0   0.0012400   1.445   0.0385
70.0   0.0013000   1.414   0.0334
70.0   0.0020000   1.246   0.0272
70.0   0.0025000   1.19   0.0217
70.0   0.0032000   1.084   0.0166
70.0   0.0050000   0.958   0.0145
70.0   0.0080000   0.819   0.0154
70.0   0.0130000   0.716   0.0163
70.0   0.0200000   0.637   0.0137
70.0   0.0320000   0.561   0.0138
70.0   0.0500000   0.512   0.0116
90.0   0.0013000   1.479   0.0277
90.0   0.0015000   1.418   0.0364
90.0   0.0020000   1.328   0.0209
90.0   0.0032000   1.165   0.0150
90.0   0.0050000   1.023   0.0131
90.0   0.0080000   0.883   0.0121
90.0   0.0130000   0.754   0.0111
90.0   0.0200000   0.649   0.0095
90.0   0.0320000   0.557   0.0086
90.0   0.0500000   0.488   0.0089
90.0   0.0800000   0.436   0.0085
90.0   0.1800000   0.343   0.0176
120.0   0.0016000   1.41   0.0261
120.0   0.0017200   1.444   0.0607
120.0   0.0018800   1.413   0.0521
120.0   0.0020000   1.361   0.0230
120.0   0.0021200   1.386   0.0425
120.0   0.0027000   1.246   0.0371
120.0   0.0032000   1.208   0.0146
120.0   0.0050000   1.042   0.0152
120.0   0.0080000   0.893   0.0123
120.0   0.0130000   0.774   0.0125
120.0   0.0200000   0.666   0.0112
120.0   0.0320000   0.574   0.0101
120.0   0.0500000   0.486   0.0088
120.0   0.0800000   0.441   0.0093
120.0   0.1800000   0.332   0.0132
150.0   0.0020000   1.381   0.0272
150.0   0.0032000   1.235   0.0169
150.0   0.0050000   1.078   0.0134
150.0   0.0080000   0.927   0.0142
150.0   0.0130000   0.797   0.0160
150.0   0.0200000   0.687   0.0151
150.0   0.0320000   0.583   0.0140
150.0   0.0500000   0.509   0.0119
150.0   0.0800000   0.444   0.0101
150.0   0.1800000   0.324   0.0121
200.0   0.0026000   1.312   0.0276
200.0   0.0032000   1.248   0.0212
200.0   0.0050000   1.11   0.0129
200.0   0.0080000   0.948   0.0101
200.0   0.0130000   0.809   0.0084
200.0   0.0200000   0.701   0.0077
200.0   0.0320000   0.582   0.0068
200.0   0.0500000   0.52   0.0060
200.0   0.0800000   0.438   0.0050
200.0   0.1300000   0.362   0.0089
200.0   0.1800000   0.343   0.0054
200.0   0.2500000   0.278   0.0165
200.0   0.4000000   0.14   0.0104
250.0   0.0033000   1.28   0.0279
250.0   0.0050000   1.127   0.0155
250.0   0.0080000   0.952   0.0105
250.0   0.0130000   0.827   0.0091
250.0   0.0200000   0.707   0.0083
250.0   0.0320000   0.592   0.0074
250.0   0.0500000   0.519   0.0064
250.0   0.0800000   0.44   0.0051
250.0   0.1300000   0.367   0.0073
250.0   0.1800000   0.332   0.0053
250.0   0.2500000   0.267   0.0124
250.0   0.4000000   0.142   0.0088
300.0   0.0039000   1.218   0.0276
300.0   0.0050000   1.142   0.0208
300.0   0.0080000   0.969   0.0114
300.0   0.0130000   0.813   0.0091
300.0   0.0200000   0.703   0.0084
300.0   0.0320000   0.598   0.0079
300.0   0.0500000   0.507   0.0065
300.0   0.0800000   0.433   0.0054
300.0   0.1300000   0.371   0.0080
300.0   0.1800000   0.327   0.0046
300.0   0.2500000   0.268   0.0146
300.0   0.4000000   0.159   0.0066
400.0   0.0053000   1.181   0.0275
400.0   0.0080000   1.018   0.0140
400.0   0.0130000   0.844   0.0108
400.0   0.0200000   0.714   0.0093
400.0   0.0320000   0.602   0.0078
400.0   0.0500000   0.512   0.0067
400.0   0.0800000   0.436   0.0057
400.0   0.1300000   0.367   0.0051
400.0   0.1800000   0.32   0.0106
